No;Username;Jenis Kelamin;Jml Follower;Jml Following;ER;Jml Postingan;Avg. Likes;Avg. Comment;Label
105;dr.eddykristianto;l;7629;2429;0,45%;1101;33;1;1
106;pudingmoe;n;812;1220;1,77%;618;14;1;1
107;tiosiokkhing;l;2222;399;16,64%;2;352;18;1
108;novita_wijayanti;p;3332;1741;1,14%;39;24;14;1
109;lannywiono123;p;410;814;12,85%;46;50;3;1
110;momentnya_pariyah;p;1574;1857;4,36%;277;61;6;1
111;novalinayap;p;256;474;30,20%;3;49;28;0
112;muti.moersjid;p;4296;2210;1,90%;50;68;14;1
113;lidiasunarsih3;p;515;521;5,95%;94;30;1;1
114;manikdoa.id;n;495;361;27,87%;59;137;1;1
115;yenyenpropertyagent88;n;964;2710;0,58%;102;5;0;1
116;s.muntamah_;p;194;1126;0,73%;133;1;0;1
117;transitionofcare;p;372;181;3,17%;334;11;1;1
118;irawanhenny;p;384;2129;0,95%;76;4;0;1
119;dekariati;p;1314;1871;2,58%;397;32;2;1
120;noviarahayu46;p;104;340;5,53%;18;5;1;1
121;narawatykosidin;n;136;517;4,68%;59;6;0;1
122;dinny_yuliani;p;476;705;2,19%;155;10;1;1
123;ar_mercedes_n_vespa;n;3637;2512;0,43%;3730;15;0;1
124;newsatriamobil;n;40.1K;991;0,12%;4101;45;1;1
125;susanagalilei;p;2291;3175;1,65%;346;35;3;1
126;keepcalm.stayhealthy;n;563k;2747;1,72%;3548;9495;226;1
127;friskacynthiabuntaran;p;97;137;9,88%;259;9;0;1
128;windylangi_official;p;1079;3006;0,22%;1079;6;0;1
129;1657_lian;p;110;2676;9,85%;37;11;0;1
130;tongthankthink;n;1869;2105;0,66%;2206;11;2;1
131;senywijaya0209;p;631;677;14,42%;11;88;3;1
132;primi.edi;l;215;766;10,39%;6;17;6;1
133;debieariany;p;865;1564;3,05%;111;26;0;1
134;n.i.k.e.n;p;985;1002;2,97%;181;29;1;0
135;erielericaaiden;p;625;1230;2,27%;620;14;1;1
136;tirtapastry;p;451;1020;6,06%;325;26;1;1
137;mosesecha;p;1590;7498;0,46%;998;7;0;1
138;live_good_do_good_feel_good;p;408;657;1,08%;242;4;1;1
139;waris_telaumbanua;l;1523;1019;0,50%;107;8;0;1
140;agustinuschandrapurnama;l;1461;7504;0,81%;822;12;0;1
141;sucita_liewenshop;n;321;485;1,43%;182;4;0;1
142;paraswatiindah;p;789;2157;7,21%;153;56;1;1
143;afiati_suu;p;1234;7520;2,02%;789;19;6;1
144;reginashomebdg;n;233;1308;47,68%;19;106;6;1
145;yosepinhanamusidy;p;988;1022;3,80%;511;36;2;1
146;angelsetiawan;p;2075;1142;0,85%;4905;17;0;1
147;minna_siatfong;p;510;535;1,19%;412;6;0;1
148;ths.nvmii;p;375;393;32,62%;3;120;2;1
149;tutormathilda;n;1492;7512;0,65%;8428;9;1;0
150;rynadhi;l;468;753;7,94%;97;36;1;1
151;olshoplina_;n;69.1k;3669;1,06%;811;730;2;1
152;aryud;p;469;670;18,55%;1;78;9;1
153;v.e.n.c.i.a;p;1022;1492;2,97%;831;26;4;1
154;momentousodyssey;p;1604;5550;4,49%;992;66;6;1
155;penipenton;p;902;1801;5,36%;55;46;3;1
156;hunawati;p;780;1893;0,09%;141;1;2;1
157;stellachristy;p;777;767;14,72%;60;109;5;1
158;yenitan76;p;558;1635;10,47%;2;56;3;1
159;mamajeansen;p;391;730;2,39%;750;9;0;0
160;simply.vicky;p;1288;1037;2,59%;1140;32;2;1
161;ads7777_;p;236;1620;4,19%;9;10;0;1
